Title,Keywords,Research_Goal,Research_Question,Hypotheses,Methodology,Findings_Summary,Future_Research_Suggestions,Organisation,Author,Supervisor,Study_Programme,Submission_date,Source_File
De invloed van tekenen op het geheugen van leerlingen met een licht verstandelijke beperking,"licht verstandelijke beperking, geheugen, herinneren, tekenen",onderzoeken of tekenen voorafgaand of tijdens een interview helpt om meer accurate informatie te geven bij leerlingen met een licht verstandelijke beperking,Helpt tekenen voorafgaand of tijdens een interview voor leerlingen met een licht verstandelijke beperking om meer accurate informatie te geven?,not present,"De studie is uitgevoerd met een between subjects design. 21 kinderen met een mild intellectuele beperking (MID) zijn geïnterviewd over hun herinneringen aan een toneelworkshop, waarbij ze verdeeld waren in drie condities: tekenen voorafgaand aan het interview, tekenen tijdens het interview, en geen tekenen. Data zijn verzameld over verbale, visuele en situationele aspecten.","Er werd geen significant verschil gevonden in de hoeveelheid accurate informatie tussen de drie condities, behalve dat visuele informatie vaker werd herinnerd door kinderen die getekend hadden. De interviews duurden langer in de tekencondities, maar dit had geen invloed op de hoeveelheid accurate informatie.","['Er is meer onderzoek nodig om de effectiviteit van tekenen voor kinderen met een mild intellectuele beperking aan te tonen.', 'Er dient meer onderzoek te worden gedaan naar de tekentijd die de kinderen krijgen.', ""De mogelijkheid van 'doodling' kan overwogen worden in plaats van specifieke tekeningen.""]",Orion College,Mw. D. Boerdijk,"E. Kornelis, X. M. H. Moonen",Forensische Orthopedagogiek,01-2019,38872.pdf
Speaking (Un)Truth? Politicians’ Moral Rhetoric and Communicative (Un)Truthfulness on Facebook,"(un)truthful communication, reality construction, misinformation, disinformation, moral rhetoric, Austria, FPÖ, Automated Content Analysis, Facebook",to provide an overview of the discourse in which both 'Fake News' and 'Post-Truth' have been embedded by relevant actors who can influence the formation of public opinion: politicians,To what extent do Austrian politicians make use of 'reality' discourse in their Facebook postings? To what extent and in what ways do Austrian politicians make use of discourse evolving around misinformation and disinformation in their Facebook postings?,"If politicians engage in discourse on reality construction, misinformation or disinformation, they are more likely to use moral rhetoric than when their discourse lacks references to reality construction, misinformation, and disinformation.; If politicians engage in discourse on disinformation, they are more likely to use moral rhetoric than in discourses on misinformation.; Right-wing extremist parties such as the FPÖ use (a) moral rhetoric and (b) reality construction, (c) mis-, and (d) disinformation discourse more often in their Facebook postings compared to other political parties in Austria.","This study employs an extensive Automated Content Analysis (ACA) of Facebook postings of Austrian political party leaders, covering June 2009 through May 2019 (N = 11,911). The data were collected from the Facebook pages of party leaders using the data extracting tool Netvizz and analyzed in IBM SPSS Statistics 26.","The study found that (un)truthfulness discourses are clearly linked to moral rhetoric, with politicians most often discussing reality and truth in their Facebook postings. The FPÖ's leader engages more often in strong judgments of disinformation compared to other party leaders, but uses moral rhetoric less frequently.","['Future studies interested in visibility analysis could expand the research with lists of media institutions, journalists or the names of opposition politicians to investigate who is delegitimized or criticised.', 'Future studies should aim for a comparison of European countries to gather insights on how the extreme right shapes their online discourses on (un)truthfulness.']",not present,Sophie Minihold,Dr. Michael Hameleers,Research Master’s programme Communication Science,06-2019,38945.pdf
De convergente validiteit van de ARIJ-Veiligheidstaxatie,"ARIJ-Safety Assessment, focus groups, convergent validity, immediate child safety, child welfare",Het doel van deze studie was de convergente validiteit te onderzoeken van de ARIJ-veiligheidstaxatie.,In hoeverre komen beoordelingen van de directe kindveiligheid door expertpanels overeen met beoordelingen van de directe kindveiligheid door jeugdbeschermers aan de hand van de ARIJ-Veiligheidstaxatie?,not present,"De convergente validiteit werd onderzocht door beoordelingen van directe kindveiligheid door expertpanels te vergelijken met beoordelingen door jeugdbeschermers met de ARIJ-Veiligheidstaxatie. 26 professionals beoordeelden 24 casussen in expertpanels, en 63 jeugdbeschermers gebruikten de ARIJ-Veiligheidstaxatie.","De expertpanel-beoordelingen verschilden significant van de ARIJ-beoordelingen, waarbij de ARIJ-beoordelingen vaker directe kindonveiligheid aangaven. Dit gaat ten koste van de convergente validiteit van het instrument.","['De uitkomsten van de ARIJ-Veiligheidstaxatie vergelijken met het Triage instrument dat gebruikt wordt bij Veilig Thuis.', 'Dossiers van jeugdbescherming die niet met de ARIJ-Veiligheidstaxatie zijn beoordeeld, achteraf beoordelen met de ARIJ-Veiligheidstaxatie.', 'Een homogenere groep van deelnemers aan de expertpanels maken.']",not present,N. F. (Nina) den Otter,"A. (Annemiek) Vial, Msc; dr. C. E. (Claudia) van der Put",Forensische Orthopedagogiek,07-2018,39017.pdf
"Mindful met je Peuter: Het effect op Mindfulness, Mindful Ouderschap, Opvoedstress en Psychopathologie bij Moeders en Peuters","mindfulness, mindful ouderschap, opvoedstress, psychopathologie, mindful met je peuter","Het effect van de mindful met je peuter (MMJP) training op mindfulness, mindful ouderschap, opvoedstress en psychopathologie bij moeders en peuters.","Wat is het effect van de MMJP training op mindfulness, mindful ouderschap, opvoedstress en psychopathologie bij moeders en peuters?",Een toename in mindfulness voorspelt een afname in psychopathologie bij moeders.; Een toename in mindful ouderschap voorspelt een afname in psychopathologie bij peuters.,Empirisch onderzoek met een quasi-experimenteel design. Deelnemers (N=22) vulden vragenlijsten in op vijf meetmomenten. Data-analyse werd uitgevoerd met multilevel analyses in SPSS.,"De MMJP training leidde tot significante verbeteringen in mindfulness, mindful ouderschap en een afname van opvoedstress en psychopathologie bij moeders en peuters, vooral zichtbaar twee en acht maanden na de training.","['Voer een randomized control trial (RCT) uit om de interne validiteit te verbeteren.', 'Vergroot de onderzoeksgroep voor meer zekerheid over de resultaten.', 'Gebruik observaties door clinici voor een objectiever beeld van internaliserende psychopathologie bij peuters.']",not present,Jonna van Dam,"dr. Daniëlle van der Giessen, dr. Mirjana Majdandžić, dr. Eva Potharst",Orthopedagogiek,02-2019,39046.pdf
"I am a Ward of the State: Indigenous Men and Women and their Experiences with Racism, Classism and Sexism in Canada","Indigenous People, racism, classism, sexism, Canada, settler colonialism, Indian Act, residential schools","To explore the experiences of Indigenous People in Canada regarding racism, classism, and sexism.","How do Indigenous People in Canada experience racism, classism and sexism?",not present,"Qualitative research involving interviews with 15 Indigenous People in Canada, combined with literature review and qualitative content analysis.","The findings indicate that Indigenous People experience racism, classism, and sexism in various contexts, and these experiences are deeply rooted in settler colonialism. The research highlights the ongoing impact of historical policies like the Indian Act and residential schools.","['Further studies on the intergenerational effects of residential schooling.', 'Research on the effectiveness of the MMIWG inquiry and its recommendations.']",not present,Esther Verrips,"Dr. Margriet van Heesch, Dr. Vincent de Rooij","Department of Sociology: Gender, Sexuality & Society Track",07-2019,39102.pdf
"Opvoeding: niet alleen gedrag, maar ook gedachten en gevoelens","emoties, cognities, opvoedgedragingen, ouders, fluctuerende emoties","onderzoeken in hoeverre emoties, cognities en opvoedgedragingen van ouders stabiel zijn over tijd en in hoeverre deze elkaar onderling beïnvloeden","Fluctueren dagelijkse emoties, cognities en opvoedgedragingen van ouders en in hoeverre beïnvloeden deze elkaar onderling?",Emoties en cognities zijn stabiel over tijd.; Emoties en cognities beïnvloeden het opvoedgedrag van ouders.,"Empirisch onderzoek met een dagboekdesign waarbij 22 ouders gedurende tien dagen dagelijks hun emoties, cognities en opvoedgedragingen rapporteerden. Data-analyse omvatte Mixed Multilevel Analyses en Intraclass Correlatie Coëfficiënten.","De resultaten toonden aan dat emoties, cognities en opvoedgedragingen van ouders vrijwel stabiel zijn over tijd. Er was geen significante relatie tussen emoties, cognities en positief opvoedgedrag, maar een toename in positieve emoties leidde tot meer positief opvoedgedrag.","['Herhaal het onderzoek bij een grotere en heterogene steekproef.', 'Onderzoek de rol van emoties en cognities op het opvoedgedrag bij ouders met een laag opleidingsniveau.', 'Onderzoek of de invloed van emoties en cognities op het opvoedgedrag bij vaders zich anders uit dan bij moeders.']",Universiteit van Amsterdam,T. Veenstra,"Dr. J. Weeland, Marc Noom",Forensische Orthopedagogiek,09-2018,39164.pdf
Fighting compassion fatigue and despair with hope: The effects of constructive narrative in crisis reporting,"Compassion fatigue, Foreign news, Constructive journalism, Crises reporting, Emotions",to test how audiences react to constructive narrative in a crisis-situation,How do audiences react to constructive narrative in a crisis situation?,H1: Constructive narrative will elicit stronger positive emotions; H2: Constructive narrative will elicit increased intention to act fully mediated by positive emotions; H3: Crisis narrative will elicit stronger negative emotions; H4: Crisis narrative will elicit increased intention to act fully mediated by negative emotions; H5: Participants suffering from compassion fatigue are less likely to act after watching the crisis narrative than after watching the constructive narrative,An online survey experiment where participants were randomly assigned to read either a constructive or crisis narrative. The study measured emotional responses and intended actions.,"The results showed that audiences reacted similarly to both narratives in terms of intention to act, with emotions being decisive for the intention to act.","['Further investigate the effects of a constructive narrative.', 'Include multiple stimulus articles across different scenarios.', 'Develop measurements for evaluating journalistic impact.', 'Include a control group to test for the effects of both narratives.']",not present,Emil Staulund Larsen,dr. Knut De Swert,"Erasmus Mundus Master Journalism, Media and Globalization",06-2019,39178.pdf
It’s part of the job: how do human trafficking detectives cope with ‘prospectless police reports’?,"human trafficking, police reports, coping mechanisms, street-level bureaucrats, policy alienation",to understand how human trafficking detectives cope with prospectless police reports,How do human trafficking detectives cope with prospectless police reports?,The relationships with clients will be considered a stressor to the detectives.; Coping mechanisms will become implementing behaviors for SLBs.,"Data was gathered through semi-structured interviews with ten human trafficking detectives of different rankings, focusing on their perceptions of policy, stressors, and coping mechanisms.","Detectives experience policy alienation and various stressors related to the B8 claims, which they cope with through resistance, cooperation, and avoidance.","['Reframing as a coping mechanism in relation to motivation could be very interesting for future research.', 'Future research could replicate this study in other EU countries to analyze the effectiveness of EU policy.']",not present,Justine Wildöer,"Dr. Anja van Heelsum, Dr. Jeroen Doomernik",Master of Science: Conflict Resolution and Governance,06-2019,39208.pdf
Elaborations of Universal Basic Income in Different Societal Projects,"Universal Basic Income, UBI, neoliberalism, feminism, libertarianism, socialism, societal projects",To analyse and compare elaborations of universal basic income (UBI) in four societal projects.,How is UBI elaborated in different societal projects?,not present,"Qualitative document analysis of publications on UBI affiliated with the Basic Income Earth Network, including an anthology and the first 7 issues of the Basic Income Studies journal.","The elaborations in the four projects are substantially dissimilar and in some cases incompatible, as the goals they wish to achieve through UBI are disparate.","['Further research on the implications of UBI trials and their evaluations.', 'Exploration of the effects of UBI on the gendered division of labor.']",Basic Income Earth Network,Anastasia Ilieva,"dr. Johan De Deken, dr. Paul Raekstad","MSc in Sociology, University of Amsterdam",08-2019,39246.pdf
Zelfsturend vermogen in innovatief voortgezet onderwijs: hoe werken docenten aan de nodige vaardigheden en spelen ze in op de verschillende leerbehoeften van leerlingen?,"zelfsturend vermogen, zelfgestuurd leren, zelf-gereguleerd leren, onderwijsinnovatie, leerbehoeften",Inzicht verschaffen in hoe docenten op innovatieve scholen leerlingen ondersteunen in de ontwikkeling van zelfsturend vermogen en hoe zij rekening houden met verschillende leerbehoeften.,Hoe werken innovatieve middelbare scholen aan de ontwikkeling van zelfsturend vermogen van hun leerlingen en op welke wijze komen docenten hierbij tegemoet aan verschillende leerbehoeften van leerlingen?,not present,"Kwalitatieve dataverzameling door middel van een vergelijkende case study, inclusief documentanalyse, interviews met docenten (N=16) en observaties op vier innovatieve scholen.",Docenten hebben verschillende visies op zelfsturend vermogen en passen verschillende methoden toe om dit te ontwikkelen. Er zijn significante verschillen in hoe scholen omgaan met de begeleiding van leerlingen met verschillende leerbehoeften.,"['Onderzoeken in hoeverre de gebruikte manieren om de ontwikkeling van zelfsturend vermogen van leerlingen te bevorderen effectief zijn.', 'De relatie tussen de concepten motivatie en zelfsturend vermogen onderzoeken.']",not present,A. M. Voskamp,"Prof. dr. M. Volman, Dr. E. Kuiper",Onderwijswetenschappen,03-2019,39347.pdf
Is it a match? An experiment on the effect of cause-brand fit and perceived importance in unallied cause-related marketing,"Unallied cause-related marketing, cause-brand fit, perceived importance of social cause, Pride campaigns, brand evaluation","To explore the effectiveness of cause-brand fit and perceived importance of a social cause on attitude towards the advertisement, attitude towards the brand and purchase intention in unallied CRM.",To what extent does cause-brand fit in unallied CRM campaigns influence the consumers’ ad- and brand evaluation and purchase intention? And does the perceived importance of the cause moderate the relationship between cause-brand fit in unallied CRM campaigns and the ad- and brand evaluation and purchase intention?,"H1: A high cause-brand fit in CRM advertisements will lead to a more positive attitude towards the advertisement (H1a) and the brand (H1b) and will lead to a higher purchase intention (H1c) compared to a low cause-brand fit.; H2: A high perceived importance of a social cause in CRM advertisements will lead to a more positive attitude towards the advertisement (H2a) and the brand (H2b) and will increase the purchase intention (H2c) compared to a low perceived importance.; H3: A high cause-brand fit results in a more positive attitude towards the ad (H3a), attitude towards the brand (H3b) and a higher purchase intention (H3c) compared to low cause-brand fit, but this relationship is stronger for people who have a high perceived importance of the cause compared to low perceived importance.","An experimental study with a 2 (cause-brand fit: low vs. high) x 2 (perceived importance: low vs. high) between-subject factorial design. The sample consisted of 201 participants, and data was collected through Social Networking Sites. Participants were randomly assigned to conditions where they watched advertisements with either low or high cause-brand fit.","The study found that consumer responses towards the advertisement and brand are not influenced by cause-brand fit, nor was purchase intention. High perceived importance did lead to a more favorable evaluation of the advertisement, but there was no difference in attitude towards the brand and purchase intention.","['Future research might want to consider comparing rational versus affective appeals in unallied CRM.', 'Future research is needed to further understand the role of perceived importance in unallied CRM.']",not present,Guus van Duijn,dr. S. Mollen,"Master’s programme Persuasive Communication, Communication Science",02-2020,39531.pdf
Framing the picture: the effect of congruence in images’ frames on attitude towards immigrants,Framing; attitude towards immigrants; frame congruence; right-wing authoritarianism,to determine whether exposure to congruent frames in images depicting immigrants had a significantly different effect on attitude towards immigrants compared with exposure to incongruent stimuli,To what extent does exposure to images concerning immigration which are congruent in their frames impact attitude towards immigrants differently than does exposure to images with incongruent frames? And is there a moderating effect of right-wing authoritarianism (RWA) on this relationship?,"H1: Compared with exposure to an empathy frame, with exposure to both a threat as well as an empathy frame, and with no exposure, exposure to a threat frame is negatively associated with attitude towards immigrants.; H2: Compared with exposure to both a threat as well as an empathy frame, and with no exposure, exposure to an empathy frame is positively associated with attitude towards immigrants.; H3: Compared with no exposure, exposure to both a threat as well as an empathy frame will generate a slightly more negative attitude towards immigrants.; H4: Compared with exposure to an empathy frame, with exposure to both a threat as well as an empathy frame, and with no exposure, the negative effect of exposure to a threat frame on attitude towards immigrants is stronger for participants high in RWA than participants low in RWA.; H5: Compared with exposure to both a threat as well as an empathy frame, and with no exposure, the positive effect of exposure to an empathy frame on attitude towards immigrants is weaker for people high in RWA compared to those who are low in RWA.; H6: Compared with no exposure, the negative effect of exposure to both a threat as well as an empathy frame on attitude towards immigrants is stronger for those who are high in RWA compared with those who are low in RWA.","An online survey-embedded experiment was conducted with 137 participants, using convenience and snowball sampling. Participants were randomly assigned to one of four exposure conditions: congruent threat frame, congruent empathy frame, incongruent threat and empathy frames, and control. Data were analyzed using one-way ANOVA and multiple regression analysis.",Results suggest that congruence in images’ frames does not generate different attitudes towards immigrants than does incongruence in frames and that RWA has no role in the relationship.,"['Future studies might benefit from investigating the extent of images’ framing effects when images are presented both with and without information on what the topic being studied is.', 'Replication with a representative sample is still necessary.']",not present,Corien W. Middelbeek,dr. L.C.N. Jacobs,Master’s programme Communication Science,01-2020,39586.pdf
Brain-training games and metacognitive development: The effect of a modelling agent,"brain-training games, digital games, metacognition, modelling, streamer, tweens",to understand the potential influence of brain-training videogames on children’s metacognition,"What are the effects of brain-training videogames on children’s metacognition when a modelling agent is included, and how does gender moderate these effects?",HP1a: Users who watch a streamer modelling metacognitive behavior while playing a brain-training game will have higher MK than those users playing the game.; HP1b: Users who watch a streamer modelling metacognitive behavior while playing a brain-training game will have higher SR than those users playing the game.; H2: Gender will moderate the relationship between condition and metacognition (MK and SR) such that boys in the playing condition will have higher MK and SR skills than girls (H2a) while girls in the modelling condition will have higher MK and SR skills than boys (H2b).,"A 2 (condition: playing, streaming) x 2 (gender: male, female) between-subjects experiment was conducted with 172 Italian elementary and middle school children to assess study hypotheses. Participants were randomly assigned to either play a brain-training videogame or watch a live-streaming of the same game.","Results were counter to expectations. Specifically, metacognitive skills were unaffected by study condition. Both the main effect and interaction effect were rejected.","['Use a modelling agent using specific scaffolding strategies devised by the researcher(s).', 'Allow children to directly apply their metacognitive skills in the game to adequately measure the activation of metacognitive processes.']",not present,Matteo Rinaldi,Dr. Jessica Taylor Piotrowski,Research Master’s Programme Communication Science,01-2020,39635.pdf
The influence of boardroom diversity on corporate social responsibility transparency,"boardroom diversity, corporate social responsibility, CSR transparency, gender diversity, age diversity, nationality diversity","to investigate the impact of board member characteristics such as gender, age and nationality on CSR transparency",To what extent does boardroom diversity have a positive impact on CSR transparency?,Hypothesis 1a: Boards which are more gender-diverse score higher on CSR transparency.; Hypothesis 1b: Companies with a female CEO score higher on CSR transparency than companies with a male CEO.; Hypothesis 2: Boards which are more age-diverse score higher on CSR transparency.; Hypothesis 3: Boards with more nationality diversity score higher on CSR transparency.,The research method used in this study is content analysis. It is a quantitative study that examines the CSR transparency of 100 Dutch companies based on their board composition.,The results showed that only the gender diversity of board members had a positive influence on CSR transparency. Companies with a female CEO had greater CSR transparency scores than those with a male CEO.,"['Further studies could attempt to operationalize nationality (or cultural) diversity in a different manner.', 'It would be interesting to see if the recently introduced quota for supervisory board members in Dutch companies will also lead to changes in management boards.']",not present,Ruby Mens,dhr. dr. P.H.J. (Pytrik) Schafraad,Corporate Communication,03-2020,39647.pdf
The effect of health and sustainability messages on increasing the intention to commute via bike and the role of individualistic vs. collectivistic arguments as a moderator,"commuting via bike, cycling, health message, sustainability message, individualistic frame, collectivistic frame, attitude, intention","To examine whether a message focused on health benefits or a message focused on sustainability benefits creates higher intention to commute via bike, and whether this effect is moderated by the individualistic or collectivistic focus of the arguments in the message.",Does a message focused on health benefits or a message focused on sustainability benefits create higher intention to commute via bike? And is this effect moderated by whether the message is focused on individualistic or collectivistic benefits?,"H1: A message focused on health benefits creates (a) more positive attitudes toward commuting via bike, and (b) creates a higher intention to commute via bike, compared to a message focused on sustainability benefits.; H2: A message focused on individualistic benefits creates (a) more positive attitudes toward commuting via bike and (b) creates a higher intention to commute via bike, compared to a message focused on collectivistic benefits.; H3: A message focused on individualistic health benefits creates (a) more positive attitudes toward commuting via bike, and (b) creates a higher intention to commute via bike, compared to a message focused on collectivistic health benefits, individualistic sustainability benefits or collectivistic sustainability benefits.",An experimental between-subjects design was used to examine the effects of four different messages promoting commuting via bike. A sample of 225 people participated by filling out a questionnaire.,Results showed no differences in attitude toward commuting via bike and intention to commute via bike between participants exposed to a message describing health benefits vs. sustainability benefits. There were also no differences in effects of the individualistic vs. collectivistic messages on attitude and intention.,"['Further research should explore the effects of more comprehensive interventions in order to gain insight into communication strategies to increase the number of Dutch habitants who commute via bike.', 'Future research could examine the effects of the messages on a sample composed of people who do not cycle often yet.', 'Future research could use focus groups in a pre-test in order to create sustainability benefits perceived as more individualistic, and health benefits perceived as more collectivistic.', 'Further research could examine the effects of the message on intention to commute via bike, by measuring performed behavior a few weeks after being exposed to the experimental stimuli.']",not present,Judith van de Wolfshaar,Marijn Meijers,Persuasive Communication,01-2020,39689.pdf
De mate(n) van invloed van modellen op merkattitude en aankoopintentie,"lichaamsbouw, modellen, merkattitude, aankoopintentie, high-end merken, low-end merken","Onderzoeken of de lichaamsbouw van modellen invloed heeft op de merkattitude en aankoopintentie ten opzichte van verschillende type merken, en of dit gemodereerd wordt door de eigen lichaamsbouw.","Heeft de lichaamsbouw (slank vs. normaal postuur) van modellen die kleding ‘showen’ in online winkels effect op de merkattitude en aankoopintentie ten opzichte van verschillende type merken (high-end vs. low-end), en wordt dit gemodereerd door de eigen lichaamsbouw van de consument?","H1: Het gebruik van een slank model vergeleken met een model met een normaal postuur resulteert in een positievere merkattitude en een hogere aankoopintentie voor het getoonde merk.; H2a: Het gebruik van zowel een model met een normaal postuur en een slank postuur resulteert in een positieve merkattitude en een hogere aankoopintentie van low-end merken.; H2b: Het gebruik van een model met een normaal postuur vergeleken met een slank model resulteert in een minder positieve merkattitude en een lagere aankoopintentie voor high-end merken.; H3: Eigen lichaamsbouw modereert de effecten van lichaamsbouw van het model en merktype: consumenten met een slank postuur hebben een negatieve merkattitude en aankoopintentie tegenover high-end merken wanneer deze worden getoond door een model met een normaal postuur vergeleken met een slank model, maar dit is niet zo voor consumenten met een normaal postuur.","Het onderzoek is uitgevoerd met een online, between subjects experiment met 168 vrouwelijke respondenten. De respondenten werden blootgesteld aan verschillende modellen (slank vs. normaal postuur) en merken (high-end vs. low-end) om de effecten op merkattitude en aankoopintentie te meten.","De resultaten tonen aan dat de lichaamsbouw van het model, het merktype en de eigen lichaamsbouw geen significante invloed hebben op de merkattitude en aankoopintentie. De centrale onderzoeksvraag kan met 'nee' worden beantwoord.",['Toekomstig onderzoek waar deze drie posturen in één manipulatie worden vergeleken zou hier meer inzicht in kunnen geven.'],Universiteit van Amsterdam,Marit Kootwijk,dr. Jeroen G.B. Loman,Master Thesis Persuasive Communication,01-2020,39693.pdf
Angstproblemen van het kind als voorspeller van emotionele flexibiliteit binnen vader-moeder-kind interacties,"angst, emotionele flexibiliteit, triadische interacties, kinderen, ouders","onderzoeken of angst bij kinderen op 4,5 jaar de mate van emotionele flexibiliteit binnen triadische interacties op 7,5 jaar voorspelt","In hoeverre voorspelt angst bij kinderen op 4,5 jaar de mate van emotionele flexibiliteit binnen triadische interacties op 7,5 jaar?",niet present,"longitudinaal onderzoek met 89 gezinnen, waarbij angstsymptomen werden beoordeeld met de Preschool Anxiety Scale - Revised (PAS-R) en emotionele flexibiliteit werd geobserveerd tijdens conflict- en vakantietaken, gecodeerd met het SPAFF-systeem",geen samenhang gevonden tussen angst van het kind en de mate van emotionele flexibiliteit binnen vader-moeder-kind interacties; resultaten kwamen niet overeen met verwachtingen,"['Gebruik maken van kinderen met een diagnose van angst, waardoor er meer spreiding is, om te kijken of dit effect heeft op de emotionele flexibiliteit op triadisch niveau', 'Onderzoek naar de samenhang tussen angst en de mate van emotionele flexibiliteit binnen triades in verschillende interactiecontexten']",Universiteit van Amsterdam,L. Kramer,"dr. D. Van der Giessen, dr. E.L. Möller","Masterscriptie Orthopedagogiek, Pedagogische en Onderwijskundige Wetenschappen",07-2018,39746.pdf
"The effects of eWOM valence and absence on consumers’ trust, brand attitudes, and purchase intentions.","eWOM, valence, absence, brand trust, brand attitude, purchase intention, YouTube","To investigate the effects of eWOM valence and absence on consumers’ brand trust, brand attitude, and purchase intention.","What are the effects for eWOM valence (positive and negative) and eWOM absence (non-referential and disabled) on consumers’ brand attitude and purchase intentions, and does consumers’ perceived trust mediate this relationship?","H1a: eWOM valence (positive eWOM and negative eWOM) of comments underneath YouTube brand content influences brand attitude and purchase intention.; H1b: eWOM absence (i.e. disabled UGSMC) underneath YouTube brand content influences brand attitude and purchase intention.; H1c: eWOM absence (i.e. non-referential UGSMC) underneath YouTube brand content influences brand attitude and purchase intention.; H2: Consumers’ perceived trust mediates the relationship of eWOM valence and absence with brand attitude, and purchase intention.","An online experiment with a 1 x 4 between-subjects design was conducted, involving 207 participants. The study tested the effects of eWOM valence (positive and negative) and eWOM absence (non-referential and disabled) on brand trust, brand attitude, and purchase intention.",The study found that disabling the comment section is beneficial when negative eWOM is anticipated but not when positive eWOM is anticipated. Trust mediated the relationship between eWOM absence and valence with brand attitude and purchase intention.,"['Future research should allow full interactivity whilst controlling for social media experience or incorporating social media experience as a moderator.', 'Future research should incorporate non-referential UGSMC valence (positive, neutral, and negative) and compare it with eWOM valence as well as with disabled UGSMC.', 'Future research can be enriched by comparing eWOM absence and valence on dynamic and rich media versus on static and lean media in one singular study.', 'Future research should employ a within-subjects design which tests the impact of disabling the comment section after positive and negative eWOM has already been read by users.']",not present,Cedric Bratzke,Dr. Hilde Voorveld,"Persuasive Communication, MSc Communication Science",01-2020,39770.pdf
Risicofactoren van fysieke kindermishandeling: Een meta-analytisch overzicht,"fysieke kindermishandeling, risicofactoren, meta-analyse",Het actualiseren van de huidige kennis over het effect van risicofactoren op fysieke kindermishandeling.,Welke risicofactoren hebben invloed op fysieke kindermishandeling en hoe worden deze effecten gemodereerd?,not present,Een meta-analyse werd uitgevoerd over 40 studies die totaal over 365 effectgroottes rapporteerden. Een drie-level model werd gebruikt voor het berekenen van de gemiddelde effectgroottes per risicodomein en voor het uitvoeren van de moderatoranalyses.,"Kleine tot groot-gemiddelde significante effectgroottes werden gevonden voor zestien risicodomeinen. De vijf grootste gemiddelde effectgroottes werden gevonden voor de domeinen ‘geschiedenis van antisociaal gedrag door de ouders’, ‘ouderlijke stress’, ‘disfunctionele overtuigingen, normen en waarden van de ouders’, ‘eerdere of huidige vormen van kindermishandeling’ en ‘kind heeft periode niet bij gezin gewoond’.",['Meer onderzoek is nodig naar de tot op heden weinig onderzochte risicofactoren die in huidige meta-analyse als belangrijkste risicofactoren naar voren zijn gekomen.'],Universiteit van Amsterdam,N.C.M. Prinse & E.M. Lageveen,"Mw. Dr. C.E. van der Put, Dhr. Drs. M. Assink",Forensische Orthopedagogiek,09-2016,39849.pdf
Between evidence and ethics: A qualitative study of evidence-informed policymaking on unequal educational opportunities in the Netherlands,"evidence-based policy, political epistemology, educational inequalities, social justice",to enhance our understanding of the role of research evidence in the policy process both practically and normatively,How is knowledge about unequal educational opportunities created and mobilized for national policy in the Netherlands?,not present,"The study uses qualitative research methods, including twelve semi-structured interviews with policymakers, advisors, and researchers, fieldnotes from one event, and analysis of nine research-advisory reports and policy documents. It employs interpretive policy analysis.","The findings reveal a complex relationship between evidence-informed policymaking and the contents of educational policies, highlighting that the process often overlooks social factors and oversimplifies issues, while many participants advocate for a stronger relationship between research and policy.","['Investigate the co-production of policy knowledge by different actors.', 'Explore the implications of lacking ethical reflection within policy.']",not present,Ana Dorscheidt,"dr. Liza Mügge, dr. Peter Tangney",Research Master Social Sciences,06-2024,c11080218.pdf
21st-Century Bamboo Diplomacy: Investigating the Dynamics of Deploying Foreign Policies through the Logistics Infrastructure Projects on Thailand’s Kra Isthmus,"bamboo diplomacy, foreign policy, logistics infrastructure, Kra Isthmus, geopolitical importance","to provide a nuanced examination of the projects’ geopolitical importance, particularly regarding foreign policy, within the framework of practical geopolitics",How have the infrastructure projects on the Kra Isthmus been instrumentalised by the Thai government in deploying bamboo diplomacy throughout the two governments?,"The geopolitical discourses from the foreign stakeholder nations toward Kra Isthmus changed throughout the two governments.; The Thai governments reacted to the situations of that time through the infrastructure project plans on the Kra Isthmus.; The changing forms of infrastructure projects, from the Thai Canal to the Land Bridge, shaped the deployment of bamboo diplomacy throughout the two governments.","This study employs a longitudinal discourse analysis of published interviews, documents, and media, focusing on the dynamics of deploying bamboo diplomacy through infrastructure projects on the Kra Isthmus.","The findings indicate that the projects reflect Thailand's adaptability in foreign policy, balancing economic opportunities with geopolitical stability, particularly in the context of relations with China and India.","['Explore the environmental and social impacts of the Land Bridge projects.', 'Conduct comparative studies on foreign policy strategies in other Southeast Asian infrastructure projects.', 'Assess the economic impact on local communities and regional trade.', 'Examine how these projects shaped discourses and practices using theories like assemblage.']",not present,Bharis Senivongse,"Dr. Virginie Mamadouh, Dr. Elisa Schramm",MSc Political Geography,not present,c11099377.pdf
